年,月,平均気温
1979,1,2.9
1979,2,4.1
1979,3,5.9
1979,4,11
1979,5,14.8
1979,6,21.5
1979,7,23.6
1979,8,25.4
1979,9,21.6
1979,10,15.5
1979,11,8.9
1979,12,4.4
1980,1,2.1
1980,2,0.9
1980,3,5.5
1980,4,10.6
1980,5,16.2
1980,6,21
1980,7,22.9
1980,8,23.3
1980,9,20
1980,10,14.6
1980,11,9.2
1980,12,2.2
1981,1,-0.4
1981,2,1.5
1981,3,6.2
1981,4,11
1981,5,15.3
1981,6,20.8
1981,7,25.5
1981,8,24.2
1981,9,19.2
1981,10,13.9
1981,11,7.5
1981,12,3.6
1982,1,1.5
1982,2,2.3
1982,3,6.7
1982,4,11.1
1982,5,17.6
1982,6,20
1982,7,22.6
1982,8,24.7
1982,9,19.6
1982,10,14.6
1982,11,10.7
1982,12,4.5
1983,1,2.3
1983,2,2.1
1983,3,6.1
1983,4,14
1983,5,17.2
1983,6,20.3
1983,7,23.9
1983,8,26.5
1983,9,22
1983,10,14.7
1983,11,8.1
1983,12,2.1
1984,1,-0.9
1984,2,-1.2
1984,3,2.4
1984,4,10.1
1984,5,15.4
1984,6,21.4
1984,7,25.3
1984,8,26.2
1984,9,20.7
1984,10,13.9
1984,11,9.5
1984,12,4
1985,1,0.8
1985,2,3
1985,3,6.8
1985,4,11.9
1985,5,17.3
1985,6,19.7
1985,7,25.1
1985,8,26.2
1985,9,22.3
1985,10,15.5
1985,11,8.9
1985,12,2.5
1986,1,0.3
1986,2,0.3
1986,3,5.4
1986,4,12.1
1986,5,16.1
1986,6,20.8
1986,7,23.9
1986,8,25.2
1986,9,20.8
1986,10,12.8
1986,11,8.4
1986,12,4.8
1987,1,2.5
1987,2,3.4
1987,3,5.9
1987,4,10.9
1987,5,16.4
1987,6,20.8
1987,7,24.6
1987,8,24.9
1987,9,20.1
1987,10,16.1
1987,11,9.8
1987,12,4.2
1988,1,3
1988,2,1.9
1988,3,5.3
1988,4,10.9
1988,5,16
1988,6,20.6
1988,7,24.6
1988,8,24.9
1988,9,21.4
1988,10,14.2
1988,11,7.1
1988,12,3.1
1989,1,4.4
1989,2,4.3
1989,3,6.1
1989,4,12.4
1989,5,16.2
1989,6,19.9
1989,7,24.3
1989,8,24.7
1989,9,21.7
1989,10,13.8
1989,11,9.9
1989,12,4.3
1990,1,1.8
1990,2,5.4
1990,3,7.3
1990,4,11.5
1990,5,16.6
1990,6,21.9
1990,7,25.4
1990,8,26.1
1990,9,22.2
1990,10,15.1
1990,11,10.8
1990,12,4.8
1991,1,2.6
1991,2,2.1
1991,3,7.4
1991,4,12.6
1991,5,15.9
1991,6,21.9
1991,7,24.7
1991,8,24.9
1991,9,22.1
1991,10,15.2
1991,11,8.5
1991,12,5.6
1992,1,3.3
1992,2,3
1992,3,7.4
1992,4,12.3
1992,5,15.6
1992,6,19.7
1992,7,24.2
1992,8,24.9
1992,9,21.4
1992,10,14.5
1992,11,8.8
1992,12,5
1993,1,3.6
1993,2,3.8
1993,3,5.2
1993,4,11.4
1993,5,16.1
1993,6,20.7
1993,7,23
1993,8,23.5
1993,9,19.8
1993,10,13.4
1993,11,10.1
1993,12,4.4
1994,1,2.1
1994,2,2.9
1994,3,4.7
1994,4,13.3
1994,5,17.5
1994,6,21.2
1994,7,27.4
1994,8,26.9
1994,9,22.1
1994,10,15.8
1994,11,10
1994,12,5.2
1995,1,1.9
1995,2,2.2
1995,3,6.3
1995,4,11
1995,5,15.9
1995,6,19.4
1995,7,25
1995,8,26.7
1995,9,20.3
1995,10,15.1
1995,11,6.9
1995,12,2.7
1996,1,2.1
1996,2,1.4
1996,3,5.5
1996,4,8.8
1996,5,16.9
1996,6,21.4
1996,7,25.1
1996,8,25.4
1996,9,20.4
1996,10,14.5
1996,11,9.8
1996,12,3.7
1997,1,1.7
1997,2,2.5
1997,3,7.2
1997,4,11.8
1997,5,17.3
1997,6,21.3
1997,7,23.9
1997,8,25.4
1997,9,20.8
1997,10,13.8
1997,11,10.3
1997,12,5.3
1998,1,2.4
1998,2,4.5
1998,3,7.2
1998,4,14.9
1998,5,18.7
1998,6,21
1998,7,25
1998,8,26.4
1998,9,22.8
1998,10,17.5
1998,11,9.2
1998,12,5.4
1999,1,2.1
1999,2,2.2
1999,3,7.3
1999,4,11.7
1999,5,17.4
1999,6,21.1
1999,7,23.6
1999,8,25.2
1999,9,23.5
1999,10,16
1999,11,9.1
1999,12,3.8
2000,1,3.4
2000,2,1.4
2000,3,5.6
2000,4,11.1
2000,5,17.3
